NOM	CYL	PUIS	LON	LAR	POIDS	VITESSE	NAT	FINITION	PRIX
ALFASUD-TI-1350	1350	79	393	161	870	165	I	B	30570
AUDI-100-L	1588	85	468	177	1110	160	D	TB	39990
SIMCA-1307-GLS	1294	68	424	168	1050	152	F	M	29600
CITROEN-GS-CLUB	1222	59	412	161	930	151	F	M	28250
FIAT-132-1600GLS	1585	98	439	164	1105	165	I	B	34900
LANCIA-BETA-1300	1297	82	429	169	1080	160	I	TB	35480
PEUGEOT-504	1796	79	449	169	1160	154	F	B	32300
RENAULT-16-TL	1565	55	424	163	1010	140	F	B	32000
RENAULT-30-TS	2664	128	452	173	1320	180	F	TB	47700
TOYOTA-COROLLA	1166	55	399	157	815	140	J	M	26540
ALFETTA-1.66	1570	109	428	162	1060	175	I	TB	42395
PRINCESS-1800-HL	1798	82	445	172	1160	158	GB	B	33990
DATSUN-200L	1998	115	469	169	1370	160	J	TB	43980
TAUNUS-2000-GL	1993	98	438	170	1080	167	D	B	35010
RANCHO	1442	80	431	166	1129	144	F	TB	39450
MAZDA-9295	1769	83	440	165	1095	165	J	M	27900
OPEL-REKORD-L	1979	100	459	173	1120	173	D	B	32700
LADA-1300	1294	68	404	161	955	140	U	M	22100
